cluster,minLat,maxLat,minLng,maxLng
0,35.3388,35.8142,5.23026,6.58158
1,-18.7111,-18.7111,-45.3489,-45.3489
2,9.897,10.7585,122.905,123.171
3,1.01489,1.16835,124.508,124.7
4,-26.0746,-25.8693,32.3491,32.4472
5,-11.6516,-11.6516,43.36,43.36
6,-37.2605,-37.1744,175.172,175.734
7,-7.28558,-6.17945,106.357,108.593
8,40.6691,40.6691,-85.1742,-85.1742
9,-21.2244,-21.2244,-63.2887,-63.2887
10,40.4346,41.0441,-89.5537,-89.3548
11,35.3824,35.3824,-108.093,-108.093
12,29.6044,29.6044,-96.7845,-96.7845
13,42.0122,42.0122,-83.5377,-83.5377
14,-4.13519,-4.13519,-48.0987,-48.0987
15,28.5802,28.9938,-97.1003,-96.8425
16,48.0917,48.0917,127.897,127.897
17,46.4938,46.6398,-87.8805,-87.7071
18,34.8628,34.8628,-105.275,-105.275
19,18.0491,18.2334,-66.841,-66.4234
20,25.6694,25.6694,109.57,109.57
21,-35.4392,-35.4392,-58.9735,-58.9735
22,24.4457,25.1835,91.52,92.4232
23,33.6977,33.9839,-100.238,-99.4494
24,36.3581,36.3581,-96.1011,-96.1011
25,14.3202,18.1538,120.147,122.01
26,14.3584,14.5398,75.0937,75.4408
27,27.7882,27.7882,109.974,109.974
28,22.3313,23.4505,89.9688,90.7018
29,50.3282,50.7134,5.01154,6.50952
30,38.9381,38.9452,-80.5923,-80.5545
31,11.6727,11.6727,21.5509,21.5509
32,32.6061,32.8353,76.1481,76.9103
33,13.489,13.489,24.9139,24.9139
34,42.5413,42.6953,125.154,125.156
35,34.4872,34.4872,-85.7798,-85.7798
36,31.0772,31.5112,120.376,120.795
37,41.6853,41.6853,-105.091,-105.091
38,26.9485,28.2008,84.7936,88.1319
39,23.5255,23.5255,100.797,100.797
40,47.3155,47.3155,12.2066,12.2066
41,11.0514,11.0514,39.7851,39.7851
42,24.9893,25.7563,110.295,111.342
43,21.6782,21.6782,109.825,109.825
44,28.5031,29.0656,-82.7443,-81.6252
45,43.4418,43.4577,142.664,142.796
46,21.0725,21.2109,110.113,110.542
47,42.5291,43.2488,-84.4959,-82.8186
48,20.733,21.1736,105.925,106.865
49,63.1724,63.1724,15.9425,15.9425
50,26.2074,27.1972,82.6165,83.0513
51,18.4176,19.7426,-73.7657,-69.7045
52,6.41486,6.41486,6.50345,6.50345
53,22.1528,25.9614,88.9351,91.7119
54,33.1369,33.1369,-105.8,-105.8
55,7.37547,7.48633,2.10776,2.17876
56,12.5592,12.9425,99.6423,99.79
57,20.4525,21.1495,85.8723,86.7154
58,31.7526,31.7526,-98.6949,-98.6949
59,29.542,30.191,-90.7209,-90.0003
60,38.837,38.837,-78.4543,-78.4543
61,17.9531,18.1978,-77.3418,-76.937
62,9.71614,10.5704,-67.0248,-65.9923
63,11.2383,11.2699,-60.6677,-60.6243
64,44.0047,44.0047,-116.954,-116.954
65,-16.5525,-16.5525,-66.0628,-66.0628
66,39.2816,39.494,-121.38,-121.099
67,-16.1155,-15.8735,-69.31,-69.0747
68,45.0248,45.0248,-87.8814,-87.8814
69,-29.4731,-29.4731,-59.5908,-59.5908
70,-9.79844,-9.79844,-43.7954,-43.7954
