City,Country,Census
Athi River (Mavoko),Kenya,"81,302"
Awendo,Kenya,"16,815"
Banisa (Banissa),Kenya,"14,974"
Bondo,Kenya,"22,712"
Bungoma,Kenya,"68,031"
Busia,Kenya,"71,886"
Chuka,Kenya,"22,388"
Elburgon,Kenya,"28,359"
Eldama Ravine,Kenya,"21,385"
Eldoret,Kenya,"475,716"
Elwak,Kenya,"60,732"
Emali,Kenya,"18,325"
Embu,Kenya,"64,979"
Garbatula,Kenya,"17,443"
Garissa,Kenya,"163,399"
Gilgil,Kenya,"60,711"
Githunguri,Kenya,"63,319"
Habaswein,Kenya,"49,599"
Hola,Kenya,"20,912"
Homa Bay,Kenya,"44,949"
Isebania,Kenya,"23,891"
Isiolo,Kenya,"78,650"
Juja,Kenya,"156,041"
Kabarnet,Kenya,"22,474"
Kajiado,Kenya,"24,678"
Kakamega,Kenya,"107,227"
Kakuma,Kenya,"22,984"
Kapsabet,Kenya,"41,997"
Karatina,Kenya,"23,552"
Karuri,Kenya,"194,342"
Kehancha,Kenya,"22,194"
Kenol,Kenya,"44,086"
Kericho,Kenya,"53,804"
Kerugoya,Kenya,"30,045"
Kiambu,Kenya,"147,870"
Kikuyu,Kenya,"323,881"
Kilifi,Kenya,"74,270"
Kimilili,Kenya,"56,050"
Kiminini,Kenya,"16,560"
Kiserian,Kenya,"76,903"
Kisii,Kenya,"112,417"
Kisumu,Kenya,"397,957"
Kitale,Kenya,"162,174"
Kitengela,Kenya,"154,436"
Kitui,Kenya,"29,062"
Lafey,Kenya,"22,882"
Lamu,Kenya,"25,385"
Limuru,Kenya,"81,316"
Lodwar,Kenya,"82,970"
Machakos,Kenya,"63,767"
Mai Mahiu,Kenya,"20,823"
Mairo Inya,Kenya,"30,527"
Makindu,Kenya,"15,038"
Makutano (Kapenguria),Kenya,"28,469"
Malaba,Kenya,"15,581"
Malindi,Kenya,"119,859"
Mandera,Kenya,"114,718"
Maralal,Kenya,"31,350"
Mariakani,Kenya,"31,715"
Marsabit,Kenya,"36,289"
Masalani,Kenya,"43,642"
Maua,Kenya,"22,121"
Mazeras,Kenya,"16,254"
Mbale (Vihiga),Kenya,"17,404"
Mbita (Mbita Point),Kenya,"14,916"
Meru,Kenya,"80,191"
Migori,Kenya,"71,668"
Mlolongo,Kenya,"136,351"
Moi's Bridge,Kenya,"16,355"
Molo (Turi),Kenya,"48,356"
Mombasa,Kenya,"1,208,333"
Moyale,Kenya,"47,850"
Msambweni,Kenya,"14,951"
Mtwapa,Kenya,"90,677"
Mumias,Kenya,"41,942"
Murang'a,Kenya,"43,314"
Mwingi,Kenya,"17,025"
Nairobi,Kenya,"4,397,073"
Naivasha,Kenya,"198,444"
Nakuru,Kenya,"570,674"
Namanga,Kenya,"14,922"
Nanyuki,Kenya,"72,813"
Narok,Kenya,"65,430"
Ngong,Kenya,"102,323"
Njoro,Kenya,"42,173"
Nyahururu,Kenya,"37,650"
Nyamira,Kenya,"24,483"
Nyeri,Kenya,"80,081"
Ongata Rongai,Kenya,"172,569"
Oyugis,Kenya,"19,947"
Rhamu,Kenya,"35,644"
Rongo,Kenya,"20,688"
Ruiru,Kenya,"490,120"
Siaya,Kenya,"33,153"
Takaba,Kenya,"21,517"
Taveta,Kenya,"22,018"
Thika,Kenya,"251,407"
Ukunda,Kenya,"77,686"
Voi,Kenya,"53,353"
Wajir,Kenya,"90,116"
Wanguru,Kenya,"51,722"
Watamu,Kenya,"27,857"
Webuye,Kenya,"42,642"
Wote,Kenya,"19,725"
