Latitude,Longitude,AddressType,Name
"-0.3332938","37.6500021","town","Chuka"
"-1.1393736","36.6364928","road","Eldoret-Malaba Road"
"-1.1398234","36.6364726","road","Eldoret-Malaba Road"
"-1.1394066","36.6362204","road","Eldoret-Malaba Road"
"-1.1448542","36.6372076","road","Eldoret-Malaba Road"
"-1.1482627","36.6378575","road","Eldoret-Malaba Road"
"-1.1529898","36.6385938","road","Eldoret-Malaba Road"
"-1.1341114","36.6323447","road","Eldoret-Malaba Road"
"-1.1733457","36.6419616","road","Eldoret-Malaba Road"
"-1.1733498","36.6418482","road","Eldoret-Malaba Road"
"-1.1938453","36.6513844","road","Eldoret-Malaba Road"
"-2.081915","37.475521","town","Emali"
"0.0533143","37.6446573","road","Embu-Meru Highway"
"-0.3929174","37.5962392","road","Meru-Embu Highway"
"-0.715002","37.6540048","road","Embu - Siakago Road"
"-0.6649463","37.6391789","road","Embu - Siakago Road"
"-0.8757286","37.689748","road","Embu - Siakago Road"
"-0.7930237","37.6625121","road","Embu - Siakago Road"
"-1.0180654","37.6993543","road","Embu - Siakago Road"
"-0.6603479","37.5872822","road","Embu - Kiritiri Road"
"-0.2166","36.2666","village","Upper Gilgil"
"0.0274685","36.3655078","road","Gilgil-Nyahururu Road"
"0.019148","36.3651799","road","Gilgil-Nyahururu Road"
"-0.0296163","36.3616267","road","Gilgil-Nyahururu Road"
"-0.0503518","36.3622181","road","Gilgil-Nyahururu Road"
"-0.2168185","36.269694","road","Tumaini Gilgil Road"
"-0.2998595","36.3751605","road","Gilgil-Nyahururu Road"
"-0.2611926","36.3489727","road","Gilgil-Nyahururu Road"
"-0.3666","37.4833","village","Githunguri"
"-1.4976808","40.034911","town","Hola"
"0.35","37.583303","town","Isiolo"
"0.4702811","37.4969928","village","Isiolo west location"
"0.3801836","34.832333999017564","industrial","WEST KENYA SUGAR COMPANY"
"-0.482246","37.125224","town","Karatina"
"-0.713372","37.035695","town","Karuri"
"-1.1923852","36.9420535","road","Kericho Road"
"-1.1663925","36.8252791","town","Kiambu"
"-1.2438971","36.6645832","town","Kikuyu"
"-1.0402639","37.0810829","road","Kilifi Road"
"-1.7387379","37.1198469","road","Isinya-Kiserian Road"
"-4.0631262","39.6651949","road","Kisumu Road"
"-4.0648201","39.6651731","road","Kisumu Road"
"1.0252736","35.0086773702915","industrial","Kenya Seed Company Ltd"
"3.1516211","41.1866597","village","Lafey"
"3.14247365","41.21319490560441","city","Lafey ward"
"-0.5084195","39.6781513","road","Gariisa-Lamu Road"
"-1.1158645","36.6393103","town","Limuru"
"-1.1197917","36.6337434","town","Limuru"
"-1.5101523000000001","37.27812024577119","city","Machakos Central ward"
"-1.5326468","37.1321422","road","Chumvi-Machakos-Kitui Road"
"-1.4675751","37.2513932","road","Machakos-Kagundo Road"
"0.0278916","36.4085673","village","mairo inya"
"0.573031","34.1345121","road","Tororo(Malaba junction) - Busia"
"0.6003318","34.2296487","road","Busia - Malaba Road"
"0.569209","34.1923714","road","Busia-Malaba Road"
"0.5375816","34.1688702","road","Busia-Malaba Road"
"0.5132835","34.1488539","road","Busia-Malaba Road"
"0.5033321","34.1392971","road","Busia-Malaba Road"
"0.6165408","34.6690067","road","Eldoret-Malaba Road"
"0.6058488","34.7268766","road","Eldoret-Malaba Road"
"0.6086327","34.7581646","road","Eldoret-Malaba Road"
"0.5896625","34.7803169","road","Eldoret-Malaba Road"
"3.9384208","41.8573239","town","Mandera"
"-3.865835","39.47377","town","Mariakani"
"-3.8311553","39.47106307023259","city","Mariakani ward"
"0.2663109","37.9313157","road","Meru-Maua Road"
"0.2491255","37.9402354","road","Meru-Maua Road"
"0.2151408","37.9432248","road","Meru-Maua Road"
"0.1962488","37.7737762","road","Meru-Maua Road"
"0.0570559","37.6425525","road","Meru-Maua Road"
"-3.967571","39.549806","village","Mazeras"
"-3.95","39.5333","village","Mazeras/Mugumo Patsa"
"0.0499786","37.6500063","city","Meru"
"-1.386917","36.93887434134591","industrial","Imperial Health Sciences Kenya Ltd"
"-1.38731475","36.93785777539466","industrial","Koto Housing Kenya"
"3.51590545","39.05841842957835","town","Moyale"
"-4.459971","39.4768689","village","Msambweni"
"0.3361103","34.4895368","town","Mumias"
"-0.7236564","37.1575858","town","Murang'a"
"-0.0275714","36.1054444","village","Kenya"
"-0.4172695","36.1437369","village","Kenya"
"-0.3048962","35.7111659","village","Kenya Njeru"
"-0.0251346","36.0950953","village","Kianda Kenya"
"0.1057648","37.3981181","road","Meru-Nanyuki Road"
"-0.0137524","37.0656938","road","Nyeri-Nanyuki Road"
"-0.0760326","37.0376158","road","Nyeri-Nanyuki Road"
"-0.1366021","37.0325679","road","Nyeri-Nanyuki Road"
"-0.3229296","37.0044239","road","Nyeri-Nanyuki Road"
"-1.1339403","36.6329866","road","Kamandura-Maai Mahiu-Narok Road"
"-1.3638527","36.65739758944556","industrial","Kenya Power And Lighting Distribution Station"
"0.0274685","36.3655078","road","Gilgil-Nyahururu Road"
"0.019148","36.3651799","road","Gilgil-Nyahururu Road"
"-0.0296163","36.3616267","road","Gilgil-Nyahururu Road"
"-0.0503518","36.3622181","road","Gilgil-Nyahururu Road"
"0.0184375","36.466155","road","Nyeri-Nyahururu Road"
"-0.0629407","36.5299943","road","Nyeri-Nyahururu Road"
"-0.0772261","36.5629479","road","Nyeri-Nyahururu Road"
"-0.2611926","36.3489727","road","Gilgil-Nyahururu Road"
"-0.2998595","36.3751605","road","Gilgil-Nyahururu Road"
"-0.2719364","36.3748713","road","Market Road"
"3.93448475","40.94991820052191","city","Rhamu Dimtu ward"
"-1.1462590499999998","36.914699316334136","farmyard","Hardi Kenya"
"-1.053395","37.08821483752896","industrial","Kenya Vehicle Manufacturing Ltd"
"-4.281409","39.566161","town","Ukunda"
"-4.31221455","39.555530281033185","city","Ukunda ward"
"-3.39754275","38.5935318933724","residential","Voi"
"-3.3976842","38.584327","town","Voi"
"-4.0482899","39.6654768","road","Wajir Road"
"-4.0428823","39.661561","road","Wajir Road"
"-4.0413188","39.6594422","road","Wajir Road"
"-0.6842256","37.3581488","village","Wanguru"
