City,Adm.,Population
Athi River (Mavoko),EA,"81,302"
Awendo,NY,"16,815"
Banisa (Banissa),NE,"14,974"
Bondo,NY,"22,712"
Bungoma,WE,"68,031"
Busia,WE,"71,886"
Chuka,EA,"22,388"
Elburgon,RV,"28,359"
Eldama Ravine,RV,"21,385"
Eldoret,RV,"475,716"
Elwak,NE,"60,732"
Emali,EA,"18,325"
Embu,EA,"64,979"
Garbatula,EA,"17,443"
Garissa,NE,"163,399"
Gilgil,RV,"60,711"
Githunguri,EA,"63,319"
Habaswein,NE,"49,599"
Hola,CO,"20,912"
Homa Bay,NY,"44,949"
Isebania,NY,"23,891"
Isiolo,EA,"78,650"
Juja,CE,"156,041"
Kabarnet,RV,"22,474"
Kajiado,RV,"24,678"
Kakamega,WE,"107,227"
Kakuma,RV,"22,984"
Kapsabet,RV,"41,997"
Karatina,CE,"23,552"
Karuri,CE,"194,342"
Kehancha,NY,"22,194"
Kenol,CE,"44,086"
Kericho,RV,"53,804"
Kerugoya,CE,"30,045"
Kiambu,CE,"147,870"
Kikuyu,CE,"323,881"
Kilifi,CO,"74,270"
Kimilili,WE,"56,050"
Kiminini,RV,"16,560"
Kiserian,RV,"76,903"
Kisii,NY,"112,417"
Kisumu,NY,"397,957"
Kitale,RV,"162,174"
Kitengela,RV,"154,436"
Kitui,EA,"29,062"
Lafey,NE,"22,882"
Lamu,CO,"25,385"
Limuru,CE,"81,316"
Lodwar,RV,"82,970"
Machakos,EA,"63,767"
Mai Mahiu,RV,"20,823"
Mairo Inya,CE,"30,527"
Makindu,EA,"15,038"
Makutano (Kapenguria),RV,"28,469"
Malaba,WE,"15,581"
Malindi,CO,"119,859"
Mandera,NE,"114,718"
Maralal,RV,"31,350"
Mariakani,CO,"31,715"
Marsabit,EA,"36,289"
Masalani,NE,"43,642"
Maua,EA,"22,121"
Mazeras,CO,"16,254"
Mbale (Vihiga),WE,"17,404"
Mbita (Mbita Point),NY,"14,916"
Meru,EA,"80,191"
Migori,NY,"71,668"
Mlolongo,EA,"136,351"
Moi's Bridge,WE,"16,355"
Molo (Turi),RV,"48,356"
Mombasa,CO,"1,208,333"
Moyale,EA,"47,850"
Msambweni,CO,"14,951"
Mtwapa,CO,"90,677"
Mumias,WE,"41,942"
Murang'a,CE,"43,314"
Mwingi,EA,"17,025"
Nairobi,NA,"4,397,073"
Naivasha,RV,"198,444"
Nakuru,RV,"570,674"
Namanga,RV,"14,922"
Nanyuki,RV,"72,813"
Narok,RV,"65,430"
Ngong,RV,"102,323"
Njoro,RV,"42,173"
Nyahururu,RV,"37,650"
Nyamira,NY,"24,483"
Nyeri,CE,"80,081"
Ongata Rongai,RV,"172,569"
Oyugis,NY,"19,947"
Rhamu,NE,"35,644"
Rongo,NY,"20,688"
Ruiru,CE,"490,120"
Siaya,NY,"33,153"
Takaba,NE,"21,517"
Taveta,CO,"22,018"
Thika,CE,"251,407"
Ukunda,CO,"77,686"
Voi,CO,"53,353"
Wajir,NE,"90,116"
Wanguru,CE,"51,722"
Watamu,CO,"27,857"
Webuye,WE,"42,642"
Wote,EA,"19,725"
