lat, long, city, addresstype


31.2323437,121.4691024,上海市,city


30.0443879,31.2357257,القاهرة,city
18.9733536,72.82810491917377,Mumbai City District,city
19.0785451,72.878176,Mumbai Suburban District,city
39.9057136,116.3912972,北京市,city
23.7644025,90.389015,ঢাকা,city


24.8546842,67.0207055,کراچی ڈویژن,city
-34.6037181,-58.38153,Buenos Aires,city
30.8101669,108.4034084,万州区,city
41.006381,28.9758715,İstanbul,city
22.5726459,88.3638953,Kolkata,city
14.5906346,120.9799964,Manila,city
6.4550575,3.3941795,Lagos,city
6.5269033,3.5774005,Lagos,city

39.1175488,117.1913008,天津市,city
-4.3217055,15.3125974,Kinshasa,city
23.1301964,113.2592945,广州市,city
34.0536909,-118.242766,Los Angeles,city
55.7505412,37.6174782,Москва,city
22.5445741,114.0545429,深圳市,city
31.5656822,74.3141829,لاہور,city
12.9767936,77.590082,Bengaluru,city
48.8534951,2.3483915,Paris,city
4.6529539,-74.0835643,Bogotá Distrito Capital,city
4.6533816,-74.0836333,Bogotá,city
-6.175247,106.8270488,Daerah Khusus Jakarta,city
13.0836939,80.270186,Chennai,city
-12.0621065,-77.0365256,Lima Metropolitana,city
13.7524938,100.4935089,กรุงเทพมหานคร,city
37.5666791,126.9782914,서울특별시,city
35.1851045,136.8998438,名古屋市,city
17.360589,78.4740613,Hyderabad,city
51.4893335,-0.14405508452768728,London,city
51.5156177,-0.0919983,City of London,city
35.6892523,51.3896004,شهر تهران,city
41.8755616,-87.6244212,Chicago,city
30.6598628,104.0633717,成都市,city
32.0438284,118.7788631,南京市,city
24.5167811,117.3523949,南靖县,city
30.5951051,114.2999353,武汉市,city
30.6424069,114.3796282,青山区,city
30.3106557,114.0801009,汉南区,city
30.6356082,114.2776595,江岸区,city
10.7763897,106.7011391,Thành phố Hồ Chí Minh,city
-8.8272699,13.2439512,Luanda,city
23.0216238,72.5797068,Ahmedabad,city

34.261004,108.9423363,西安市,city
44.5754873,129.6090267,西安区,city
42.9241072,125.1431337,西安区,city

23.0205969,113.7457788,东莞市,city
30.2489634,120.2052342,杭州市,city
23.0239788,113.1159558,佛山市,city
41.8026095,123.4279105,沈阳市,city
24.638916,46.7160104,الرياض,city
33.3061701,44.3872213,بغداد,city
-33.4377756,-70.6504502,Santiago,city
21.2094892,72.8317058,Surat,city
40.4167047,-3.7035825,Madrid,city
31.3016935,120.5810725,苏州市,city
33.6482366,116.9588062,宿州市,city
39.744526,98.5072987,肃州区,city
18.521428,73.8544541,Pune City,city
45.7593633,126.6276177,哈尔滨市,city
29.7589382,-95.3676974,Houston,city
37.3261588,-91.955988,Houston,city
61.6302778,-149.818055,Houston,city
32.7762719,-96.7968559,Dallas,city
43.6534817,-79.3839347,Old Toronto,city
43.6534817,-79.3839347,Toronto,city
-6.8160837,39.2803583,Dar es-Salaam,city
25.7741728,-80.19362,Miami,city
35.6914588,-100.6384183,Miami,city
39.3214125,-93.2279823,Miami,city

1.2899175,103.8519072,Singapore,city
39.9527237,-75.1635262,Philadelphia,city
33.7489924,-84.3902644,Atlanta,city
37.4356784,-96.7691606,Atlanta,city
40.2596504,-89.2332466,Atlanta,city
33.5898988,130.4017509,福岡市,city
15.5635972,32.5349123,الخرطوم,city
41.3828939,2.1774322,Barcelona,city
-26.205,28.049722,Johannesburg,city
59.938732,30.316229,Санкт-Петербург,city
36.0637967,120.3192081,青岛市,city
38.9181714,121.6282945,大连市,city
38.8950368,-77.0365427,Washington,city
16.7967129,96.1609916,Yangon,city
31.1991806,29.8951716,الإسكندرية,city
31.7517806,116.534208,金安区,city
36.6661305,117.0199472,济南市,city
