name;State;datetime;TempMax;TempMin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;sunrise;sunset;moonphase;conditions;description;icon;stations
Buenos Aires; Argentina;2023-01-30;28,4;23,2;258;308;232;266;211;759;0;0;0;;0;0;36;275;964;10101;309;10;3397;294;9;10;2023-01-31;2023-01-31;33;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999
Buenos Aires; Argentina;2023-01-31;26,4;23,5;25;264;235;25;201;746;0;0;0;;0;0;432;295;1008;10133;766;10;1204;104;4;10;2023-02-01;2023-02-01;36;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-01;26,3;22,7;241;263;227;241;194;751;8933;100;833;rain;0;0;364;26;1014;10141;905;99;1616;141;8;10;2023-02-02;2023-02-02;39;Rain, Overcast;Cloudy skies throughout the day with rain.;rain;87582099999,87585099999,87553099999,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-02;26,2;20;231;262;20;231;181;742;3967;100;125;rain;0;0;493;335;1151;10154;582;98;3257;28;10;10;2023-02-03;2023-02-03;43;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;87582099999,87585099999,87553099999,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-03;28,8;18,7;233;277;187;231;135;572;0;0;0;;0;0;317;205;1398;10163;115;99;3833;331;10;10;2023-02-04;2023-02-04;46;Clear;Clear conditions throughout the day.;clear-day;87582099999,87585099999,87553099999,SABE,87593099999,F5854,87576099999
Buenos Aires; Argentina;2023-02-04;28,7;19,6;245;295;196;248;176;667;0;0;0;;0;0;292;166;6;10125;181;10;2645;228;10;10;2023-02-05;2023-02-05;5;Clear;Clear conditions throughout the day.;clear-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-05;31,2;22,7;271;324;227;276;173;561;0;0;0;;0;0;382;204;3547;10104;293;99;2802;243;10;15;2023-02-06;2023-02-06;53;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-06;32;24,6;278;352;246;291;205;656;0;0;0;;0;0;479;207;694;10104;30;10;3665;316;10;15;2023-02-07;2023-02-07;56;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999
Buenos Aires; Argentina;2023-02-07;30;25,2;275;308;252;284;191;61;37;100;417;rain;0;0;461;241;754;10089;627;99;1595;138;7;15;2023-02-08;2023-02-08;6;Rain, Partially cloudy;Partly cloudy throughout the day with afternoon rain.;rain;87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-08;31,8;23,1;273;339;231;287;204;666;0;0;0;;0;0;248;156;233;10105;166;95;2492;215;9;10;2023-02-09;2023-02-09;63;Clear;Clear conditions throughout the day.;clear-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999
Buenos Aires; Argentina;2023-02-09;33,8;25,7;295;374;257;318;21;608;0;0;0;;0;0;23;131;175;10102;113;91;2392;207;10;10;2023-02-10;2023-02-10;67;Clear;Clear conditions throughout the day.;clear-day;87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999
