lat,long,city,addresstype
-3.3201862,17.3774958,Bandundu,city
0.4939335,29.4653222,Beni,city
-0.2836634,20.8826368,Boende,city
-4.41825505,15.38553463892,Boma,city
-2.5055839,28.8594885,Bukavu,city
1.5620529,30.2478844,Bunia,city
2.7932581,24.7287054,Buta,city
0.1249694,29.2919545,Butembo,city
4.2812396,20.9999077,Gbadolite,town
3.2549286,19.7750831,Gemena,city
-1.6665685,29.225652,Goma,city
-1.9253353,18.2863998,Inongo,town
2.7742702,27.6208169,Isiro,city
-6.1368376,24.4862256,Kabinda,town
-5.9460209,29.1967172,Kalemie,city
-8.7351826,25.0032201,Kamina,city
-5.8951725,22.408589,Kananga,city
-4.8059503,17.038692,Kenge,city
-5.0383083,18.8178447,Kikwit,city
-5.9289091,29.1921784,Kindu,neighbourhood
-4.3217055,15.3125974,Kinshasa,city
0.5184021,25.2057292,Kisangani,city
-10.7169952,25.4669918,Kolwezi,city
-10.9891601,26.7397418,Likasi,city
2.1473937,21.5156742,Lisala,city
-11.6642316,27.4826264,Lubumbashi,city
-3.2907778,17.3945307592543,Lisala,city
-6.1094951,23.6129341242467,Lusambo,city
-5.8256559,13.4609047,Matadi,city
0.0470732,18.2564803,Mbandaka,city
-6.1258942,23.5998111,Mbuji-Mayi,city
-7.006496,23.4487976,Mwene-Ditu,city
-6.4230495,20.7887691,Tshikapa,city
