City,Country,Population,Area,Density
,,,km2,/km2
Manila,Philippines,"1,846,600",43,"43,064"
Mandaluyong,Philippines,"425,758",11,"38,495"
Caloocan,Philippines,"1,661,584",53,"31,233"
Bnei Brak,Israel,"218,691",7,"30,854"
Kolkata,India,"6,200,000",206,"30,097"
Kathmandu,Nepal,"1,442,000",49,"29,161"
Dhaka,Bangladesh,"8,906,136",306,"29,069"
Makati,Philippines,"629,616",22,"28,975"
Port-au-Prince,Haiti,"987,31",36,"27,395"
Levallois-Perret,France,"64,379",2,"26,713"
Montrouge,France,"54,26",2,"26,213"
Bogotá,Colombia,"8,034,649",307,"26,141"
Vincennes,France,"49,891",2,"26,121"
Le Pré-Saint-Gervais,France,"17,95",1,"25,643"
Pasig,Philippines,"803,159",31,"25,53"
Saint-Mandé,France,"22,619",1,"24,586"
La Plata,Argentina,"654,324",27,"24,234"
Saint-Josse-ten-Noode,Belgium,"27,548",1,"24,165"
Guttenberg,United States,"12,017",1,"24,034"
Malabon,Philippines,"380,522",16,"23,842"
Pasay,Philippines,"440,656",19,"23,64"
"Neapoli, Thessaloniki",Greece,"27,084",1,"23,149"
Malé,Maldives,"133,412",6,"23,002"
Damascus,Syria,"1,711,000",77,"22,221"
"San Juan, Metro Manila",Philippines,"126,347",6,"21,524"
Navotas,Philippines,"247,543",12,"21,507"
Asmara,Eritrea,963,45,"21,4"
Mislata,Spain,"43,756",2,"21,241"
Macau,Macau,"643,1",30,"21,224"
Kallithea,Greece,"100,05",5,"21,063"
Nea Smyrni,Greece,"73,09",4,"20,764"
Paris,France,"2,187,526",105,"20,755"
Union City,United States,"68,589",3,"20,69"
Mumbai,India,"12,442,373",603,"20,634"
Colombo,Sri Lanka,"752,993",37,"20,351"
L'Hospitalet de Llobregat,Spain,"252,171",12,"20,336"
West New York,United States,"52,912",3,"20,288"
Marikina,Philippines,"456,059",23,"20,144"
Saint-Gilles,Belgium,"50,002",3,"19,842"
Clichy,France,"61,07",3,"19,828"
Kotsiubynske,Ukraine,"17,249",1,"19,826"
Courbevoie,France,"81,719",4,"19,597"
Boulogne-Billancourt,France,"120,071",6,"19,46"
Las Piñas,Philippines,"606,293",32,"18,935"
Koekelberg,Belgium,"21,99",1,"18,795"
Bandung,Indonesia,"3,075,478",167,"18,416"
General Mariano Alvarez,Philippines,"172,433",9,"18,344"
Monaco,Monaco,"36,95",2,"18,292"
Les Lilas,France,"23,045",1,"18,29"
Hoboken,United States,"60,419",3,"18,226"
Giv'atayim,Israel,"58,5",3,"18,056"
Quezon City,Philippines,"2,960,048",166,"17,882"
Vanves,France,"27,729",2,"17,775"
Asnières-sur-Seine,France,"85,191",5,"17,674"
Ciudad Nezahualcóyotl,Mexico,"1,110,565",63,"17,503"
Sliema,Malta,"22,591",1,"17,378"
Howrah,India,"1,077,075",63,"17,096"
Santa Coloma de Gramenet,Spain,"118,821",7,"16,974"
Modi'in Illit,Israel,"80,894",5,"16,748"
Chittagong,Bangladesh,"2,582,401",155,"16,661"
Sint-Jans-Molenbeek,Belgium,"97,462",6,"16,547"
Seoul,South Korea,"9,962,393",605,"16,461"
Charenton-le-Pont,France,"30,374",2,"16,418"
La Garenne-Colombes,France,"29,169",2,"16,387"
Schaerbeek,Belgium,"133,309",8,"16,377"
Neuilly-sur-Seine,France,"60,361",4,"16,183"
Barcelona,Spain,"1,636,732",101,"16,149"
Issy-les-Moulineaux,France,"68,451",4,"16,106"
Jakarta,Indonesia,"10,560,000",662,"15,964"
Bat-Yam,Israel,"129,584",8,"15,842"
Gentilly,France,"18,605",1,"15,767"
Cairo,Egypt,"9,539,673",606,"15,742"
Buenos Aires,Argentina,"3,120,612",203,"15,372"
"Rosario, Cavite",Philippines,"110,807",8,"14,561"
Mandaue,Philippines,"364,116",25,"14,461"
Warabi,Japan,"73,777",5,"14,438"
Bacoor,Philippines,"664,625",46,"14,395"
El'ad,Israel,"49,671",4,"14,192"
Senglea,Malta,"2,82",0,"14,1"
Cimahi,Indonesia,"568,4",40,"14,08"
"San Pedro, Laguna",Philippines,"326,001",24,"13,555"
Freetown,Sierra Leone,"1,055,964",81,"12,96"
Geneva,Switzerland,"201,818",16,"12,677"
Portici,Italy,"53,801",5,"11,903"
