Ezbet+el+Haggana,Cairo,Egypt
Manshiyat+Naser,Cairo,Egypt
Ashaiman,Accra,Ghana
Agbogbloshie,Accra,Ghana
Old+Fadama,Accra,Ghana
Jamestown,Accra,Ghana
Kojokrom,Kojokrom,Ghana
New+Takoradi,New Takoradi,Ghana
Suame+Magazine,Kumasi,Ghana
Dandora,Nairobi,Kenya
Huruma,Nairobi,Kenya
Kangemi,Nairobi,Kenya
Kariobangi,Nairobi,Kenya
Kawangware,Nairobi,Kenya
Kiambiu,Nairobi,Kenya
Kibera,Nairobi,Kenya
Korogocho,Nairobi,Kenya
Kware,Nairobi,Kenya
Majengo,Nairobi,Kenya
Mathare,Nairobi,Kenya
Matopeni,Nairobi,Kenya
Mukuru kwa Njenga,Nairobi,Kenya
Magongo,Mombasa,Kenya
Majengo,Mombasa,Kenya
Agege,Agege,Nigeria
Ajegunle,Ajegunle,Nigeria
Bariga,Bariga,Nigeria
Bodija,Ibadan,Nigeria
Ilaje,Ilaje,Nigeria
Makoko,Makoko,Nigeria
Mushin,Mushin,Nigeria
Somolu,Somolu,Nigeria
Kirti+Nagar,Delhi,India
Munirka,Delhi,India
Kathputhli+Colony,Delhi,India
Pilkhana,Kolkata,India
Tikiapara,Kolkata,India
Basanti,Kolkata,India
Chandmari,Guwahati,India
Dharavi,Mumbai,India
Banganga,Mumbai,India
Baiganwadi,Mumbai,India
Antop+Hill,Mumbai,India
Vyasarpadi,Chennai,India
Royapuram,Chennai,India
Thiruvotriyur,Chennai,India
Salia+Sahi,Bhubaneswar,India
Kampung+Dao,Jakarta,Indonesia
Kampung+Kalibaru,Jakarta,Indonesia
Kampung+Tanah Merah Plumpang,Jakarta,Indonesia
Kampung+Muara+Baru,Jakarta,Indonesia
Kampung+Kalimati,Jakarta,Indonesia
Tanah+Rendah,Jakarta,Indonesia
Kampung+Bahari,Jakarta,Indonesia
Tondo,Manila,Philippines
San+Andres,Manila,Philippines
District+14,Isfahan,Iran
District+15,Tehran,Iran
Machar+Colony,Karachi,Pakistan
Wanathamulla,Colombo,Sri Lanka
Mahwa+Aser,Sanaa,Yemen
Vila+Parisi,Cubatao,Brazil
Ciudad+Bolívar,Bogotá,Colombia
