Ezbet+el+Haggana,Egypt
Manshiyat+Naser,Egypt
Ashaiman,Ghana
Agbogbloshie,Ghana
Old+Fadama,Ghana
Jamestown,Ghana
Kojokrom,Ghana
New+Takoradi,Ghana
Suame+Magazine,Ghana
Dandora,Kenya
Huruma,Kenya
Kangemi,Kenya
Kariobangi,Kenya
Kawangware,Kenya
Kiambiu,Kenya
Kibera,Kenya
Korogocho,Kenya
Kware,Kenya
Majengo,Kenya
Mathare,Kenya
Matopeni,Kenya
Mukuru kwa Njenga,Kenya
Magongo,Kenya
Majengo,Kenya
Agege,Nigeria
Ajegunle,Nigeria
Bariga,Nigeria
Bodija,Nigeria
Ilaje,Nigeria
Makoko,Nigeria
Mushin,Nigeria
Somolu,Nigeria
Kirti+Nagar,India
Munirka,India
Kathputhli+Colony,India
Pilkhana,India
Tikiapara,India
Basanti,India
Chandmari,India
Dharavi,India
Banganga,India
Baiganwadi,India
Antop+Hill,India
Vyasarpadi,India
Royapuram,India
Thiruvotriyur,India
Salia+Sahi,India
Kampung+Dao,Indonesia
Kampung+Kalibaru,Indonesia
Kampung+Tanah Merah Plumpang,Indonesia
Kampung+Muara+Baru,Indonesia
Kampung+Kalimati,Indonesia
Tanah+Rendah,Indonesia
Kampung+Bahari,Indonesia
Tondo,Philippines
San+Andres,Philippines
District+14,Iran
District+15,Iran
Machar+Colony,Pakistan
Wanathamulla,Sri Lanka
Mahwa+Aser,Yemen
Vila+Parisi,Brazil
Ciudad+Bolívar,Colombia
